Source,daynight,decibal,population 
Road,day,55,2387200
Road,day,60,1426100
Road,day,65,1027200
Road,day,70,597800
Road,day,75,99200
Road,night,50,1665400
Road,night,55,1106500
Road,night,60,649400
Road,night,65,114500
Road,night,70,900
Rail,day,55,525200
Rail,day,60,308500
Rail,day,65,158100
Rail,day,70,59800
Rail,day,75,15200
Rail,night,50,388700
Rail,night,55,214200
Rail,night,60,95100
Rail,night,65,29700
Rail,night,70,6400
Air,day,57,266700
Air,day,60,120500
Air,day,63,46000
Air,day,66,13400
Air,day,69,3600
Air,day,72,200
Air,night,48,364400
Air,night,51,179700
Air,night,54,76200
Air,night,57,34800
Air,night,60,10500
Air,night,63,2200
Air,night,66,200
Air,night,69,100
Air,night,72,0
